milestone_id,type,scope,title,status,depends_on,priority,workflow_name,evidence_ref,owner,notes
M00,setup,lane,Worktree created and lane preflight complete,todo,AGENT-0-INFRA,P0,,,,
M01,batch,lane,P1 workflow fixes implemented and validated,in_progress,M00,P1,,app/agents/tools/integration_tools.py; tests/unit/test_integration_tools.py; app/workflows/readiness.py; tests/unit/test_workflow_readiness_report.py; plans/workflow-e2e-remediation-20260223/worktree-lanes/AGENT-2-INTEGRATIONS/evidence/agent2-strict-rerun-20260223-185715.md,,"Batch contains: Account Renewal, Analytics Implementation, Benefits Enrollment, Dashboard Creation, Data Pipeline Setup, Feature Development, Influencer Outreach, Payroll Processing, Deal Closing, Machine Learning Pipeline, Sales Training. Progress 2026-02-23: strict integration fallback guards added for send_message/start_call/create_connection; readiness contract check added for integration workflows missing required_integrations metadata; targeted unit tests passed. AGENT-2 strict rerun evidence captured for all 11 workflows, blocked in local terminal env with WinError 10013 socket access and missing BACKEND_API_URL/WORKFLOW_SERVICE_SECRET/SUPABASE_* envs."
WF-ACCOUNT_RENEWAL,workflow,workflow,Account Renewal strict E2E pass/gate verified,todo,M00,P1,Account Renewal,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-ANALYTICS_IMPLEMENTATION,workflow,workflow,Analytics Implementation strict E2E pass/gate verified,todo,M00,P1,Analytics Implementation,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-BENEFITS_ENROLLMENT,workflow,workflow,Benefits Enrollment strict E2E pass/gate verified,todo,M00,P1,Benefits Enrollment,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-DASHBOARD_CREATION,workflow,workflow,Dashboard Creation strict E2E pass/gate verified,todo,M00,P1,Dashboard Creation,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-DATA_PIPELINE_SETUP,workflow,workflow,Data Pipeline Setup strict E2E pass/gate verified,todo,M00,P1,Data Pipeline Setup,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-FEATURE_DEVELOPMENT,workflow,workflow,Feature Development strict E2E pass/gate verified,todo,M00,P1,Feature Development,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-INFLUENCER_OUTREACH,workflow,workflow,Influencer Outreach strict E2E pass/gate verified,todo,M00,P1,Influencer Outreach,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-PAYROLL_PROCESSING,workflow,workflow,Payroll Processing strict E2E pass/gate verified,todo,M00,P1,Payroll Processing,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-DEAL_CLOSING,workflow,workflow,Deal Closing strict E2E pass/gate verified,todo,M00,P1,Deal Closing,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-MACHINE_LEARNING_PIPELIN,workflow,workflow,Machine Learning Pipeline strict E2E pass/gate verified,todo,M00,P1,Machine Learning Pipeline,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
WF-SALES_TRAINING,workflow,workflow,Sales Training strict E2E pass/gate verified,todo,M00,P1,Sales Training,,,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.
M90,qa,lane,Lane regression tests and documentation complete,todo,M00,P1,,,,Targeted tests + changelog + evidence package assembled.
M99,handoff,lane,Lane ready for merge,todo,M90,P1,,,,"Checklist complete, risks recorded, merge order prerequisites satisfied."
