milestone_id,type,scope,title,status,depends_on,priority,workflow_name,evidence_ref,owner,notes
M00,setup,lane,Worktree created and lane preflight complete,todo,AGENT-0-INFRA,P0,,,,
M01,batch,lane,P1 workflow fixes implemented and validated,todo,M00,P1,,,,"Batch contains: Vendor Onboarding, Fundraising Round"
M02,batch,lane,P2 workflow fixes implemented and validated,todo,M00,P2,,,,"Batch contains: IT Asset Provisioning, Crisis Management Response, Ad Campaign Management, Churn Prevention, Employee Onboarding, Merger & Acquisition (M&A), Quality Assurance Audit, Upsell Campaign, Bug Triage, Inventory Management, Lead Qualification, Travel Policy Management"
WF-VENDOR_ONBOARDING,workflow,workflow,Vendor Onboarding strict E2E pass/gate verified,todo,M00,P1,Vendor Onboarding,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-FUNDRAISING_ROUND,workflow,workflow,Fundraising Round strict E2E pass/gate verified,todo,M00,P1,Fundraising Round,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-IT_ASSET_PROVISIONING,workflow,workflow,IT Asset Provisioning strict E2E pass/gate verified,todo,M00,P2,IT Asset Provisioning,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-CRISIS_MANAGEMENT_RESPON,workflow,workflow,Crisis Management Response strict E2E pass/gate verified,todo,M00,P2,Crisis Management Response,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-AD_CAMPAIGN_MANAGEMENT,workflow,workflow,Ad Campaign Management strict E2E pass/gate verified,todo,M00,P2,Ad Campaign Management,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-CHURN_PREVENTION,workflow,workflow,Churn Prevention strict E2E pass/gate verified,todo,M00,P2,Churn Prevention,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-EMPLOYEE_ONBOARDING,workflow,workflow,Employee Onboarding strict E2E pass/gate verified,todo,M00,P2,Employee Onboarding,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-MERGER_AND_ACQUISITION_MAND,workflow,workflow,Merger & Acquisition (M&A) strict E2E pass/gate verified,todo,M00,P2,Merger & Acquisition (M&A),,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-QUALITY_ASSURANCE_AUDIT,workflow,workflow,Quality Assurance Audit strict E2E pass/gate verified,todo,M00,P2,Quality Assurance Audit,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-UPSELL_CAMPAIGN,workflow,workflow,Upsell Campaign strict E2E pass/gate verified,todo,M00,P2,Upsell Campaign,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-BUG_TRIAGE,workflow,workflow,Bug Triage strict E2E pass/gate verified,todo,M00,P2,Bug Triage,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-INVENTORY_MANAGEMENT,workflow,workflow,Inventory Management strict E2E pass/gate verified,todo,M00,P2,Inventory Management,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-LEAD_QUALIFICATION,workflow,workflow,Lead Qualification strict E2E pass/gate verified,todo,M00,P2,Lead Qualification,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-TRAVEL_POLICY_MANAGEMENT,workflow,workflow,Travel Policy Management strict E2E pass/gate verified,todo,M00,P2,Travel Policy Management,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
M90,qa,lane,Lane regression tests and documentation complete,todo,M00,P1,,,,Targeted tests + changelog + evidence package assembled.
M99,handoff,lane,Lane ready for merge,todo,M90,P1,,,,"Checklist complete, risks recorded, merge order prerequisites satisfied."
