workflow_name,category,workflow_label,assigned_agent_lane,priority_tier,journey_impact_count,audit_start_api_result,audit_manual_status,requires_human_gate,global_prereq_task_ids,workflow_task_ids,workflow_tasklist,verification_task,definition_of_done
A/B Testing Workflow,data,human-gated,AGENT-1-GATES,P1,1,429,BLOCKED_ENV_CONFIG,True,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Force/observe `waiting_approval` in a nominal run and confirm the gate is surfaced as expected. || T08: Validate `POST /workflows/executions/{id}/approve` resumes execution and records approval history/message. || T09: Validate frontend approval UX path (active execution view) renders gate state and can approve without desync. || T10: Validate autonomous mode semantics mark the gate as human-required (`PASS_AUTONOMOUS_WITH_GATES`) rather than silently stalling. || T11: Validate generated analyses/dashboards/queries have schema-consistent outputs and deterministic step inputs/outputs in execution history. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode ; Approval endpoint + UI path verified end-to-end
Account Renewal,sales,integration-dependent,AGENT-2-INTEGRATIONS,P1,3,200,PARTIAL_START_ONLY,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Enumerate real integration/tool dependencies for all critical steps and document required secrets/accounts for E2E. || T08: Provision sandbox/test credentials and run connection checks for each required integration before E2E validation. || T09: Add contract tests/fixtures for each integration step and verify deterministic failure handling in strict mode. || T10: Validate strict E2E mode blocks missing integrations (no silent simulation fallback on critical steps). || T11: Validate lead/opportunity/account outputs are structured and usable by downstream CRM/sales steps; verify retry does not duplicate customer-facing actions. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode ; Sandbox integration credentials configured and validated
Ad Campaign Management,marketing,degraded-simulation-prone,AGENT-3-DEGRADED-A,P2,1,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Trace degraded/alias/high-risk tools used by this template and identify any critical step currently relying on fallback behavior. || T08: Replace or harden critical degraded paths to direct/integration tools with explicit failure behavior in strict mode. || T09: Run with simulation disabled and strict guards enabled; confirm deterministic completion or explicit human/integration gate. || T10: Add regression coverage to prevent fallback simulation from reappearing in critical steps. || T11: Validate campaign/content outputs are non-placeholder and channel-ready; confirm content artifacts/links persist in execution history. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode
Analytics Implementation,data,integration-dependent,AGENT-2-INTEGRATIONS,P1,1,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Enumerate real integration/tool dependencies for all critical steps and document required secrets/accounts for E2E. || T08: Provision sandbox/test credentials and run connection checks for each required integration before E2E validation. || T09: Add contract tests/fixtures for each integration step and verify deterministic failure handling in strict mode. || T10: Validate strict E2E mode blocks missing integrations (no silent simulation fallback on critical steps). || T11: Validate generated analyses/dashboards/queries have schema-consistent outputs and deterministic step inputs/outputs in execution history. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode ; Sandbox integration credentials configured and validated
Benefits Enrollment,hr,integration-dependent,AGENT-2-INTEGRATIONS,P1,1,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12","T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Enumerate real integration/tool dependencies for all critical steps and document required secrets/accounts for E2E. || T08: Provision sandbox/test credentials and run connection checks for each required integration before E2E validation. || T09: Add contract tests/fixtures for each integration step and verify deterministic failure handling in strict mode. || T10: Validate strict E2E mode blocks missing integrations (no silent simulation fallback on critical steps). || T11: Validate employee/compliance/personnel artifacts use safe defaults, preserve approvals, and avoid duplicate downstream actions on retry. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.",Re-run with sandbox integrations connected and strict mode on; verify terminal completion (or explicit external gate) and no simulation fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode ; Sandbox integration credentials configured and validated
Beta Testing Program,product,degraded-simulation-prone,AGENT-4-DEGRADED-B,P2,0,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Trace degraded/alias/high-risk tools used by this template and identify any critical step currently relying on fallback behavior. || T08: Replace or harden critical degraded paths to direct/integration tools with explicit failure behavior in strict mode. || T09: Run with simulation disabled and strict guards enabled; confirm deterministic completion or explicit human/integration gate. || T10: Add regression coverage to prevent fallback simulation from reappearing in critical steps. || T11: Validate product/research outputs feed downstream planning/build steps with explicit structured context and retry-safe behavior. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode
Budget Planning,finance,degraded-simulation-prone,AGENT-4-DEGRADED-B,P2,2,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12","T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Trace degraded/alias/high-risk tools used by this template and identify any critical step currently relying on fallback behavior. || T08: Replace or harden critical degraded paths to direct/integration tools with explicit failure behavior in strict mode. || T09: Run with simulation disabled and strict guards enabled; confirm deterministic completion or explicit human/integration gate. || T10: Add regression coverage to prevent fallback simulation from reappearing in critical steps. || T11: Validate calculations/reports are reproducible, auditable, and protected against silent simulation in strict E2E mode. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.",Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode
Bug Triage,product,degraded-simulation-prone,AGENT-3-DEGRADED-A,P2,0,200,PARTIAL_START_ONLY,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Trace degraded/alias/high-risk tools used by this template and identify any critical step currently relying on fallback behavior. || T08: Replace or harden critical degraded paths to direct/integration tools with explicit failure behavior in strict mode. || T09: Run with simulation disabled and strict guards enabled; confirm deterministic completion or explicit human/integration gate. || T10: Add regression coverage to prevent fallback simulation from reappearing in critical steps. || T11: Validate product/research outputs feed downstream planning/build steps with explicit structured context and retry-safe behavior. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode
Cash Flow Management,finance,degraded-simulation-prone,AGENT-4-DEGRADED-B,P2,1,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12","T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Trace degraded/alias/high-risk tools used by this template and identify any critical step currently relying on fallback behavior. || T08: Replace or harden critical degraded paths to direct/integration tools with explicit failure behavior in strict mode. || T09: Run with simulation disabled and strict guards enabled; confirm deterministic completion or explicit human/integration gate. || T10: Add regression coverage to prevent fallback simulation from reappearing in critical steps. || T11: Validate calculations/reports are reproducible, auditable, and protected against silent simulation in strict E2E mode. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.",Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode
Churn Prevention,support,degraded-simulation-prone,AGENT-3-DEGRADED-A,P2,1,429,BLOCKED_ENV_CONFIG,False,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Trace degraded/alias/high-risk tools used by this template and identify any critical step currently relying on fallback behavior. || T08: Replace or harden critical degraded paths to direct/integration tools with explicit failure behavior in strict mode. || T09: Run with simulation disabled and strict guards enabled; confirm deterministic completion or explicit human/integration gate. || T10: Add regression coverage to prevent fallback simulation from reappearing in critical steps. || T11: Validate customer-facing summaries/resolutions are coherent and traceable; ensure escalation/approval handling is explicit when needed. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode
Competitor Analysis Workflow,strategy,human-gated,AGENT-1-GATES,P1,3,429,BLOCKED_ENV_CONFIG,True,"INFRA-01, INFRA-02, INFRA-03, INFRA-04, INFRA-05, INFRA-06, INFRA-07, INFRA-08, INFRA-09, UX-01, QA-01","T01, T02, T03, T04, T05, T06, T07, T08, T09, T10, T11, T12",T01: Confirm template is `published` and has a readiness row/version aligned with the executing template ID/version. || T02: Start via `POST /workflows/start` using `template_id` + `template_version`; capture execution ID and baseline status. || T03: Verify execution transitions out of `pending` after edge-function callback and records step history entries. || T04: Validate `GET /workflows/executions/{id}` and `GET /workflows/executions/{id}/events` emit consistent status/history transitions. || T05: Validate terminal outcome (completed / waiting_approval / failed with actionable error) and persisted outcome summary/history artifacts. || T06: Add or update an automated integration test covering nominal start + one critical path assertion for this workflow. || T07: Force/observe `waiting_approval` in a nominal run and confirm the gate is surfaced as expected. || T08: Validate `POST /workflows/executions/{id}/approve` resumes execution and records approval history/message. || T09: Validate frontend approval UX path (active execution view) renders gate state and can approve without desync. || T10: Validate autonomous mode semantics mark the gate as human-required (`PASS_AUTONOMOUS_WITH_GATES`) rather than silently stalling. || T11: Validate planning deliverables (briefs/roadmaps/decision artifacts) are persisted with clear next steps and approval checkpoints where applicable. || T12: Add this workflow to the post-fix exhaustive audit allowlist/pacing batch and record evidence refs.,Re-run in strict E2E env and verify status path `pending/running -> waiting_approval -> running/completed` with SSE + approval endpoint + UI path.,Direct `/workflows/start` returns 200 in strict E2E env ; Execution leaves `pending` and emits history/SSE events ; Workflow reaches `completed` or valid gate with actionable state ; No critical-step simulation fallback in strict mode ; Approval endpoint + UI path verified end-to-end
