milestone_id,type,scope,title,status,depends_on,priority,workflow_name,evidence_ref,owner,notes
M00,setup,lane,Worktree created and lane preflight complete,todo,AGENT-0-INFRA,P0,,,,
M01,batch,lane,P1 workflow fixes implemented and validated,todo,M00,P1,,,,"Batch contains: Contract Review, Recruitment Pipeline"
M02,batch,lane,P2 workflow fixes implemented and validated,todo,M00,P2,,,,"Batch contains: Budget Planning, Pipeline Review, Cash Flow Management, Data Governance Audit, Incident Investigation, Office Move/Expansion, Tax Filing Prep, Beta Testing Program, Expense Reimbursement, Invoice Processing, Offboarding"
WF-CONTRACT_REVIEW,workflow,workflow,Contract Review strict E2E pass/gate verified,todo,M00,P1,Contract Review,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-RECRUITMENT_PIPELINE,workflow,workflow,Recruitment Pipeline strict E2E pass/gate verified,todo,M00,P1,Recruitment Pipeline,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-BUDGET_PLANNING,workflow,workflow,Budget Planning strict E2E pass/gate verified,todo,M00,P2,Budget Planning,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-PIPELINE_REVIEW,workflow,workflow,Pipeline Review strict E2E pass/gate verified,todo,M00,P2,Pipeline Review,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-CASH_FLOW_MANAGEMENT,workflow,workflow,Cash Flow Management strict E2E pass/gate verified,todo,M00,P2,Cash Flow Management,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-DATA_GOVERNANCE_AUDIT,workflow,workflow,Data Governance Audit strict E2E pass/gate verified,todo,M00,P2,Data Governance Audit,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-INCIDENT_INVESTIGATION,workflow,workflow,Incident Investigation strict E2E pass/gate verified,todo,M00,P2,Incident Investigation,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-OFFICE_MOVE_EXPANSION,workflow,workflow,Office Move/Expansion strict E2E pass/gate verified,todo,M00,P2,Office Move/Expansion,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-TAX_FILING_PREP,workflow,workflow,Tax Filing Prep strict E2E pass/gate verified,todo,M00,P2,Tax Filing Prep,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-BETA_TESTING_PROGRAM,workflow,workflow,Beta Testing Program strict E2E pass/gate verified,todo,M00,P2,Beta Testing Program,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-EXPENSE_REIMBURSEMENT,workflow,workflow,Expense Reimbursement strict E2E pass/gate verified,todo,M00,P2,Expense Reimbursement,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-INVOICE_PROCESSING,workflow,workflow,Invoice Processing strict E2E pass/gate verified,todo,M00,P2,Invoice Processing,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
WF-OFFBOARDING,workflow,workflow,Offboarding strict E2E pass/gate verified,todo,M00,P2,Offboarding,,,Re-run with simulation disabled and strict guards on; verify completion/gate with no degraded critical-step fallback.
M90,qa,lane,Lane regression tests and documentation complete,todo,M00,P1,,,,Targeted tests + changelog + evidence package assembled.
M99,handoff,lane,Lane ready for merge,todo,M90,P1,,,,"Checklist complete, risks recorded, merge order prerequisites satisfied."
