journey_id,persona,title,category,primary_workflow_template_name,primary_template_exists,journey_readiness_status,outcomes_prompt_present,requires_desired_outcomes,requires_timeline,manual_path_status,autonomous_path_status,initiative_created,initiative_id,workflow_started,workflow_execution_id,workflow_terminal_or_gate_status,frontend_path_exists,api_path_exists,browser_subset_tested,error_code,error_message,root_cause_category,evidence_ref
7c34067e-ea1a-4aa4-ad6a-23d1e7d9454a,enterprise,AI Governance Framework,compliance,Data Governance Audit,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,0766ca5e-c161-46ed-8b68-b3d9873b673f,True,d2687446-2649-4d29-8237-1ef20b66019d,,True,True,False,,,env,journey:7c34067e-ea1a-4aa4-ad6a-23d1e7d9454a
3a27800d-51cd-4f3b-803f-48e4cfa023da,enterprise,Board Governance Review,strategy,Strategic Planning Cycle,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,4a54dee6-d077-405e-8135-f45db51dde95,True,75778141-a905-42b8-a807-7454576be594,,True,True,False,,,env,journey:3a27800d-51cd-4f3b-803f-48e4cfa023da
7e24fc17-9803-4c30-ae7f-803cb5fac00f,enterprise,Brand Architecture Review,marketing,Content Creation Workflow,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,6b341822-b591-470a-9ace-34161226b7c6,True,65ab485b-73cc-431a-a429-ba5b53a5b86d,,True,True,False,,,env,journey:7e24fc17-9803-4c30-ae7f-803cb5fac00f
0bd28b62-678a-4b1b-b756-fd319a2d495e,enterprise,Business Continuity Test,operations,Crisis Management Response,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,34924d0a-b686-4286-9f06-3753f6aa032a,True,555246c8-7588-498b-8da4-43ed996f4789,,True,True,False,,,env,journey:0bd28b62-678a-4b1b-b756-fd319a2d495e
857508ef-ac21-42bc-b207-2d8f009ce54b,enterprise,Center of Excellence Setup,strategy,Strategic Planning Cycle,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,897c8643-28d5-4f4e-95ce-47077fb21921,True,60f99be8-cdcd-452c-bf5b-2f3eeb1f5c3e,,True,True,False,,,env,journey:857508ef-ac21-42bc-b207-2d8f009ce54b
8f1b18d7-dc1a-4ce2-b4bb-f1ff9e4d372b,enterprise,Change Management Framework,operations,Strategic Planning Cycle,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,62dd56d8-30e2-4309-9595-025f705e1c44,True,a203e942-79ab-4cbb-9b5d-68b6e642dec4,,True,True,False,,,env,journey:8f1b18d7-dc1a-4ce2-b4bb-f1ff9e4d372b
114f250e-d42c-43e9-85f3-81f84bf155e0,enterprise,Cloud Migration Strategy,strategy,Strategic Planning Cycle,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,42072aa3-c626-46b9-81a4-d52283d2f231,True,67020496-2180-4508-ab3f-39bc4ec0ad5f,,True,True,False,,,env,journey:114f250e-d42c-43e9-85f3-81f84bf155e0
67b9f05c-df6e-403b-b468-512cf36927a9,enterprise,Corporate University,hr,Content Creation Workflow,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,7856c444-aaae-4152-a99e-2c7ad90cbb17,True,eba8424c-cd14-473f-b5b5-c4ccfd2a15e6,,True,True,False,,,env,journey:67b9f05c-df6e-403b-b468-512cf36927a9
fa7e0feb-635c-4e28-9620-a06c7033f154,enterprise,Corporate Venture Capital,strategy,Partnership Development,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,4093b796-d1d0-4694-88ed-ef9ece6c0fde,True,0dbadac6-fff7-444b-908c-c0f0de10de3e,,True,True,False,,,env,journey:fa7e0feb-635c-4e28-9620-a06c7033f154
1d283f22-5111-4760-83d1-51170158d75d,enterprise,Crisis Communication Playbook,support,Crisis Management Response,True,ready,True,True,True,PARTIAL_START_ONLY,BLOCKED_AUTONOMY_ENV_CONFIG,True,cc96b0c5-167b-4637-81ae-6b7b9eaec1e7,True,38139049-b2d6-422e-ac1d-e7436624ad2e,,True,True,False,,,env,journey:1d283f22-5111-4760-83d1-51170158d75d
